english,arabic
Skewfoot,القدم المنحرفة (المائلة)
slip,انزلاق
Slotted,مشقوق
softer,أنعم
somewhat,بعض الشيء ، قليلا
Somite,جسيدة
somites,جسيدات
Sonic,صوتي
sought,بحث
span,"بنى جسر, تجاوز, عبر"
Spanning,ممتد
spare,أبقى على
spastic cerebral palsy,شلل دماغي تشنجي
spasticity,تشنج
spectrum,طيف
sphingomyelin,سفينغوميالين
spica casting,التجبير بقالب جبسي سنبلي الشكل (سبايكا)
Spina bifida,السنسنة المشقوقة (انشقاق العمود الفقري)
spinal,"فقري, شوكي"
spinolaminar,شوكي صفائحي
